Unnamed: 0,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,State Description
305,Northern,Delhi,New Delhi,Gurudwara Bangla Sahib,Gurudwara,Unknown,1,4.8,0,Yes,,Religious,Yes,1.05,All,The capital city with a mix of ancient and modern attractions.
306,Northern,Uttarakhand,Kedarnath,Kedarnath,Temple,Unknown,1.5,4.8,0,No,,Religious,No,2,All,The Land of Gods with its Himalayan beauty and pilgrimage sites.
307,Central,Uttar Pradesh,Noida,DLF Mall of India,Mall,2016,2,4.6,0,Yes,,Shopping,Yes,1.5,All,Home to the Taj Mahal and sacred cities like Varanasi.
308,Central,Uttar Pradesh,Greater Noida,The Grand Venice Mall,Mall,Unknown,2,4.2,0,Yes,,Shopping,Yes,0.45,All,Home to the Taj Mahal and sacred cities like Varanasi.
309,Southern,Karnataka,Bengaluru,Wonderla Amusement Park,Amusement Park,2005,4,4.5,890,Yes,,Entertainment,Yes,0.95,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations."
310,Eastern,Odisha,Bhubaneswar,Nandankanan Zoological Park,Zoo,1960,3,4.4,50,Yes,Monday,Wildlife,Yes,0.81,Afternoon,"Known for its temples, especially the Sun Temple at Konark."
311,Southern,Karnataka,Bengaluru,Orion Mall,Mall,2012,2,4.5,0,Yes,,Shopping,Yes,1.8,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations."
312,Southern,Telangana,Hyderabad,Inorbit Mall Cyberabad,Mall,2004,2,4.5,0,Yes,,Shopping,Yes,1.2,All,Home to historic Hyderabad and the Charminar.
313,Northern,Delhi,New Delhi,Jama Masjid,Mosque,1656,1,4.5,0,Yes,,Historical,Yes,0.49,All,The capital city with a mix of ancient and modern attractions.
314,Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,Unknown,1.5,4.7,0,Yes,,Religious,No,0.1,All,Famous for its Dravidian temples and cultural heritage.
315,Central,Uttar Pradesh,Greater Noida,Buddh International Circuit,Race Track,2011,2,4.6,1500,Yes,Sunday,Sports,Yes,7.4,All,Home to the Taj Mahal and sacred cities like Varanasi.
316,Central,Uttar Pradesh,Lucknow,Phoenix Palassio,Mall,2020,2,4.6,0,Yes,,Shopping,Yes,0.35,All,Home to the Taj Mahal and sacred cities like Varanasi.
317,Southern,Kerala,Kochi,LuLu International Shopping Mall,Mall,2013,3,4.6,0,Yes,,Shopping,Yes,1.9,All,"Famous for its backwaters, beaches, and Ayurvedic treatments."
318,Northern,Delhi,New Delhi,Rail Museum,Museum,1977,2,4.4,50,Yes,Monday,Cultural,Yes,0.24,Morning,The capital city with a mix of ancient and modern attractions.
319,North Eastern,Meghalaya,Cherrapunji,Living Root Bridge,Natural Feature,Unknown,2,4.6,0,No,,Nature,Yes,0.06,Morning,"Known for its hills, caves, and high rainfall."
320,Western,Gujarat,Gandhinagar,Akshardham,Temple,1992,3,4.6,0,Yes,Monday,Religious,No,0.18,All,"Home to the Gir National Park, temples, and the Rann of Kutch."
321,Central,Uttar Pradesh,Agra,Agra Fort,Fort,1565,2,4.5,40,Yes,,Historical,Yes,1.3,Afternoon,Home to the Taj Mahal and sacred cities like Varanasi.
322,Central,Madhya Pradesh,Bhopal,Madhya Pradesh Tribal Museum,Museum,2013,2,4.7,10,Yes,Monday,Cultural,Yes,0.15,All,"Heart of India with temples, forts, and wildlife parks."
323,Northern,Rajasthan,Jaipur,City Palace,Palace,1727,2,4.4,200,Yes,,Historical,Yes,0.51,Morning,"Desert state famous for its palaces, forts, and rich culture."
324,Northern,Rajasthan,Jaipur,Albert Hall Museum,Museum,1887,2,4.5,200,Yes,,Historical,Yes,0.63,All,"Desert state famous for its palaces, forts, and rich culture."
