,Sno,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,State Description,longitude,latitude,loc_clusters,img
255,255,Southern,Andhra Pradesh,Guntur,Uppalapadu Bird Sanctuary,Bird Sanctuary,Unknown,1,4.4,10,Yes,,Wildlife,Yes,0.7,All,"Known for its sacred temples, beaches, and spicy cuisine.",80.4541588,16.2915189,8,
256,256,Southern,Andhra Pradesh,Kadapa,Gandikota Fort,Fort,12th century,1.5,4.5,0,No,,Historical,Yes,0.015,Morning,"Known for its sacred temples, beaches, and spicy cuisine.",78.8216861,14.4752936,19,
257,257,Southern,Andhra Pradesh,Puttaparthi,Prasanthi Nilayam,Spiritual Center,1950,1,4.7,0,Yes,,Religious,Yes,0.12,All,"Known for its sacred temples, beaches, and spicy cuisine.",77.8124982,14.1636778,19,
258,258,Southern,Andhra Pradesh,Vizianagaram,Simhachalam Temple,Temple,198,1,4.7,0,Yes,,Religious,No,0.59,All,"Known for its sacred temples, beaches, and spicy cuisine.",83.3979562,18.1139259,0,
259,259,Southern,Andhra Pradesh,Visakhapatnam,Kailasagiri,Hill,Unknown,2,4.5,0,Yes,,Recreational,Yes,0.019,All,"Known for its sacred temples, beaches, and spicy cuisine.",83.3012842,17.7231276,0,
260,260,Southern,Andhra Pradesh,Visakhapatnam,Submarine Museum,Museum,22,1,4.6,40,Yes,,Historical,Yes,0.49,All,"Known for its sacred temples, beaches, and spicy cuisine.",83.3012842,17.7231276,0,
261,261,Southern,Andhra Pradesh,Visakhapatnam,Borra Caves,Cave,Unknown,2,4.5,60,No,,Natural Wonder,Yes,0.31,Afternoon,"Known for its sacred temples, beaches, and spicy cuisine.",83.3012842,17.7231276,0,
262,262,Southern,Andhra Pradesh,Visakhapatnam,War Memorial,War Memorial,Unknown,1,4.6,0,Yes,,Historical,Yes,0.059,All,"Known for its sacred temples, beaches, and spicy cuisine.",83.3012842,17.7231276,0,
263,263,Southern,Andhra Pradesh,Visakhapatnam,Indira Gandhi Zoological Park,Zoo,1977,2,4.1,20,Yes,Monday,Wildlife,Yes,0.25,Afternoon,"Known for its sacred temples, beaches, and spicy cuisine.",83.3012842,17.7231276,0,
264,264,Southern,Andhra Pradesh,Visakhapatnam,Matsyadarshini Aquarium,Aquarium,Unknown,1,3.8,20,Yes,,Recreational,Yes,0.03,All,"Known for its sacred temples, beaches, and spicy cuisine.",83.3012842,17.7231276,0,
265,265,Southern,Andhra Pradesh,Visakhapatnam,Visakha Museum,Museum,1991,1,4.3,10,Yes,,Cultural,Yes,0.065,All,"Known for its sacred temples, beaches, and spicy cuisine.",83.3012842,17.7231276,0,
266,266,Eastern,Sikkim,Gangtok,Nathula Pass,Hill,Unknown,2,4.3,20,Yes,,Historical,Yes,0.15,Afternoon,Known for its stunning landscapes and Buddhist monasteries.,88.6122673,27.329046,20,
267,267,Eastern,Sikkim,Pelling,Pemayangtse Monastery,Monastery,1705,1,4.6,20,No,,Religious,No,0.015,Morning,Known for its stunning landscapes and Buddhist monasteries.,88.2356503,27.3003722,20,
268,268,Eastern,Sikkim,Namchi,Char Dham,Religious Complex,211,2,4.7,50,Yes,,Religious,No,0.12,All,Known for its stunning landscapes and Buddhist monasteries.,88.37859609,27.3031019,20,
269,269,Eastern,Sikkim,Gangtok,Rumtek Monastery,Monastery,1960s,1,4.6,10,Yes,,Religious,No,0.035,Morning,Known for its stunning landscapes and Buddhist monasteries.,88.6122673,27.329046,20,
270,270,Eastern,Sikkim,Ravangla,Buddha Park,Park,213,1,4.8,50,Yes,,Cultural,Yes,0.1,All,Known for its stunning landscapes and Buddhist monasteries.,88.3644723,27.3051271,20,
271,271,Eastern,Sikkim,Gangtok,Baba Harbhajan Singh Temple,Temple,1967,1,4.7,0,Yes,,Religious,No,0.075,All,Known for its stunning landscapes and Buddhist monasteries.,88.6122673,27.329046,20,
272,272,Eastern,Sikkim,Gangtok,Tsomgo Lake,Lake,Unknown,2,4.5,0,Yes,,Nature,Yes,0.15,Morning,Known for its stunning landscapes and Buddhist monasteries.,88.6122673,27.329046,20,
273,273,North Eastern,Assam,Guwahati,Kamakhya Temple,Temple,Unknown,2,4.6,0,Yes,,Religious,No,0.21,All,"Famous for its tea gardens, wildlife, and the Brahmaputra River.",91.753943,26.1805978,17,
274,274,North Eastern,Assam,Kaziranga,Kaziranga National Park,National Park,1905,3,4.5,650,No,,Wildlife,No,0.068,Morning,"Famous for its tea gardens, wildlife, and the Brahmaputra River.",93.4084741,26.5892533,17,
275,275,North Eastern,Assam,Guwahati,Umananda Island,Island,Unknown,1,4.1,0,Yes,,Nature,Yes,0.01,Morning,"Famous for its tea gardens, wildlife, and the Brahmaputra River.",91.753943,26.1805978,17,
276,276,North Eastern,Assam,Sivasagar,Sivasagar Sivadol,Temple,1734,1,4.7,0,No,,Historical,Yes,0.065,All,"Famous for its tea gardens, wildlife, and the Brahmaputra River.",94.6394226,26.9834936,1,
277,277,North Eastern,Assam,Majuli,Majuli Island,River Island,Unknown,2,4.7,0,No,,Cultural,Yes,0.01,Morning,"Famous for its tea gardens, wildlife, and the Brahmaputra River.",94.32742303,27.02195285,1,
278,278,North Eastern,Assam,Manas,Manas National Park,National Park,1990,3,4.6,500,No,,Wildlife,Yes,0.19,Morning,"Famous for its tea gardens, wildlife, and the Brahmaputra River.",73.51575428,24.32410455,11,
279,279,North Eastern,Assam,Hajo,Hayagriva Madhava Temple,Temple,Unknown,1,4.5,0,No,,Religious,Yes,0.9,All,"Famous for its tea gardens, wildlife, and the Brahmaputra River.",91.54234804,26.23597655,17,
280,280,North Eastern,Assam,Guwahati,Pobitora Wildlife Sanctuary,Wildlife Sanctuary,1987,2,4.4,500,Yes,,Wildlife,Yes,0.037,All,"Famous for its tea gardens, wildlife, and the Brahmaputra River.",91.753943,26.1805978,17,
281,281,North Eastern,Arunachal Pradesh,Tawang,Tawang Monastery,Monastery,1680,2,4.7,0,No,,Religious,No,0.032,Morning,The Land of the Rising Sun with lush valleys and monasteries.,91.863733,27.5879186,20,
282,282,North Eastern,Tripura,Agartala,Ujjayanta Palace,Palace,1901,1.5,4.5,10,Yes,Monday,Historical,Yes,0.035,All,Known for its palaces and diverse tribal culture.,91.2823821,23.8312377,24,
283,283,North Eastern,Tripura,Dumboor,Dumboor Lake,Lake,Unknown,1,4.5,0,No,,Nature,Yes,0.01,Morning,Known for its palaces and diverse tribal culture.,91.83818815,23.47363145,24,
284,284,North Eastern,Tripura,Unakoti,Unakoti Rock Carvings,Rock Carvings,700,1.5,4.5,20,No,,Historical,Yes,0.025,Morning,Known for its palaces and diverse tribal culture.,92.04604831,24.19098485,11,
285,285,Central,Chhattisgarh,Bastar,Chitrakote Falls,Waterfall,Unknown,1.5,4.6,0,No,,Nature,Yes,0.19,Morning,"Known for its dense forests, waterfalls, and tribal culture.",81.82918649,19.11912825,12,
286,286,North Eastern,Nagaland,Dzükou Valley,Dzükou Valley,Valley,Unknown,3,4.7,0,No,,Trekking,Yes,0.01,Afternoon,Famous for its tribal culture and the Hornbill Festival.,94.1215991,25.5514981,16,
287,287,Southern,Puducherry,Puducherry,Promenade Beach,Beach,Unknown,1,4.5,0,Yes,,Recreational,Yes,0.09,Morning,French colonial heritage town with beaches and spiritual retreats.,79.8069488,10.91564885,14,
288,288,Southern,Puducherry,Auroville,Auroville,Township,1968,2,4.1,0,Yes,,Cultural,Yes,0.035,All,French colonial heritage town with beaches and spiritual retreats.,79.8099471,12.0073927,2,
289,289,Southern,Puducherry,Puducherry,Paradise Beach,Beach,Unknown,1,4.5,200,Yes,,Recreational,Yes,0.015,Morning,French colonial heritage town with beaches and spiritual retreats.,79.8069488,10.91564885,14,
290,290,Southern,Andaman and Nicobar Islands,Port Blair,Cellular Jail,Landmark,1906,1.5,4.7,30,Yes,Monday,Historical,Yes,0.12,Afternoon,Tropical paradise known for beaches and marine life.,92.7390448,11.6645348,2,
291,291,Southern,Andaman and Nicobar Islands,Havelock Island,Radhanagar Beach,Beach,Unknown,1,4.8,0,No,,Nature,Yes,0.09,Morning,Tropical paradise known for beaches and marine life.,92.99562115,11.9651954,2,
292,292,Southern,Andaman and Nicobar Islands,Neil Island,Bharatpur Beach,Beach,Unknown,1,4.5,0,No,,Nature,Yes,0.04,Morning,Tropical paradise known for beaches and marine life.,93.04193024,11.83137395,2,
293,293,Southern,Andaman and Nicobar Islands,Baratang Island,Limestone Caves,Natural Feature,Unknown,1.5,4.4,250,No,,Nature,Yes,0.015,Morning,Tropical paradise known for beaches and marine life.,92.81103514,12.1883182,2,
294,294,Western,Daman and Diu,Diu,Naida Caves,Cave,Unknown,1,4.5,0,No,,Nature,Yes,0.6,Afternoon,Known for beaches and colonial history.,70.93238341,20.71817495,7,
295,295,Western,Daman and Diu,Diu,Diu Fort,Fort,1535,1.5,4.6,0,No,,Historical,Yes,1.2,Afternoon,Known for beaches and colonial history.,70.93238341,20.71817495,7,
296,296,Eastern,Jharkhand,Deoghar,Baba Baidyanath Temple,Temple,Unknown,1,4.7,0,Yes,,Religious,Yes,1.8,All,"Rich in minerals, forests, and wildlife sanctuaries.",86.60673245,24.4766423,11,
297,297,Eastern,Jharkhand,Ranchi,Pahari Mandir,Temple,Unknown,1,4.6,0,Yes,,Religious,Yes,0.13,All,"Rich in minerals, forests, and wildlife sanctuaries.",85.3250387,23.3700501,4,
298,298,Eastern,Bihar,Bodh Gaya,Mahabodhi Temple,Temple,-260,1.5,4.7,0,Yes,,Religious,Yes,0.2,All,Rich in ancient history with landmarks like Bodh Gaya and Nalanda.,84.9937642,24.6962612,11,
299,299,Eastern,Bihar,Patna,Sanjay Gandhi Biological Park,Zoo,Unknown,2.5,4.3,30,Yes,,Wildlife,Yes,0.5,All,Rich in ancient history with landmarks like Bodh Gaya and Nalanda.,85.1235252,25.6093239,16,
300,300,Eastern,Bihar,Patna,Takhat Shri Harimandir Ji Patna Sahib,Gurudwara,Unknown,1,4.7,0,Yes,,Religious,Yes,0.25,All,Rich in ancient history with landmarks like Bodh Gaya and Nalanda.,85.1235252,25.6093239,16,
301,301,Eastern,Bihar,Patna,Budhha Smriti Park,Park,Unknown,1,4.4,10,Yes,,Cultural,Yes,0.31,All,Rich in ancient history with landmarks like Bodh Gaya and Nalanda.,85.1235252,25.6093239,16,
302,302,Northern,Haryana,Gurugram,Kingdom of Dreams,Entertainment,2010,3,4.4,1100,Yes,Monday,Entertainment,Yes,0.3,Afternoon,Known for its rich agricultural land and historic sites.,77.0299194,28.4646148,3,
303,303,Northern,Haryana,Gurugram,Ambience Mall,Mall,Unknown,2,4.6,0,Yes,,Shopping,Yes,1.2,Afternoon,Known for its rich agricultural land and historic sites.,77.0299194,28.4646148,3,
304,304,Northern,Haryana,Gurugram,DLF CyberHub,Commercial Complex,Unknown,2,4.7,0,Yes,,Entertainment,Yes,0.71,Afternoon,Known for its rich agricultural land and historic sites.,77.0299194,28.4646148,3,
305,305,Northern,Delhi,New Delhi,Gurudwara Bangla Sahib,Gurudwara,Unknown,1,4.8,0,Yes,,Religious,Yes,1.05,All,The capital city with a mix of ancient and modern attractions.,77.2217499,28.6419258,3,
306,306,Northern,Uttarakhand,Kedarnath,Kedarnath,Temple,Unknown,1.5,4.8,0,No,,Religious,No,2,All,The Land of Gods with its Himalayan beauty and pilgrimage sites.,79.0673204,30.7345609,9,
307,307,Central,Uttar Pradesh,Noida,DLF Mall of India,Mall,2016,2,4.6,0,Yes,,Shopping,Yes,1.5,All,Home to the Taj Mahal and sacred cities like Varanasi.,77.3272147,28.5706333,3,
308,308,Central,Uttar Pradesh,Greater Noida,The Grand Venice Mall,Mall,Unknown,2,4.2,0,Yes,,Shopping,Yes,0.45,All,Home to the Taj Mahal and sacred cities like Varanasi.,77.5137649,28.4670734,3,
309,309,Southern,Karnataka,Bengaluru,Wonderla Amusement Park,Amusement Park,2005,4,4.5,890,Yes,,Entertainment,Yes,0.95,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",77.590082,12.9767936,18,
310,310,Eastern,Odisha,Bhubaneswar,Nandankanan Zoological Park,Zoo,1960,3,4.4,50,Yes,Monday,Wildlife,Yes,0.81,Afternoon,"Known for its temples, especially the Sun Temple at Konark.",85.8394521,20.2602964,7,
311,311,Southern,Karnataka,Bengaluru,Orion Mall,Mall,2012,2,4.5,0,Yes,,Shopping,Yes,1.8,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",77.590082,12.9767936,18,
312,312,Southern,Telangana,Hyderabad,Inorbit Mall Cyberabad,Mall,2004,2,4.5,0,Yes,,Shopping,Yes,1.2,All,Home to historic Hyderabad and the Charminar.,78.4740613,17.360589,0,
313,313,Northern,Delhi,New Delhi,Jama Masjid,Mosque,1656,1,4.5,0,Yes,,Historical,Yes,0.49,All,The capital city with a mix of ancient and modern attractions.,77.2217499,28.6419258,3,
314,314,Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,Unknown,1.5,4.7,0,Yes,,Religious,No,0.1,All,Famous for its Dravidian temples and cultural heritage.,79.3125553,9.2844657,13,
315,315,Central,Uttar Pradesh,Greater Noida,Buddh International Circuit,Race Track,2011,2,4.6,1500,Yes,Sunday,Sports,Yes,7.4,All,Home to the Taj Mahal and sacred cities like Varanasi.,77.5137649,28.4670734,3,
316,316,Central,Uttar Pradesh,Lucknow,Phoenix Palassio,Mall,2020,2,4.6,0,Yes,,Shopping,Yes,0.35,All,Home to the Taj Mahal and sacred cities like Varanasi.,80.9346001,26.8381,1,
317,317,Southern,Kerala,Kochi,LuLu International Shopping Mall,Mall,2013,3,4.6,0,Yes,,Shopping,Yes,1.9,All,"Famous for its backwaters, beaches, and Ayurvedic treatments.",76.2454436,9.9674277,5,
318,318,Northern,Delhi,New Delhi,Rail Museum,Museum,1977,2,4.4,50,Yes,Monday,Cultural,Yes,0.24,Morning,The capital city with a mix of ancient and modern attractions.,77.2217499,28.6419258,3,
319,319,North Eastern,Meghalaya,Cherrapunji,Living Root Bridge,Natural Feature,Unknown,2,4.6,0,No,,Nature,Yes,0.06,Morning,"Known for its hills, caves, and high rainfall.",91.7292416,25.2777336,16,
320,320,Western,Gujarat,Gandhinagar,Akshardham,Temple,1992,3,4.6,0,Yes,Monday,Religious,No,0.18,All,"Home to the Gir National Park, temples, and the Rann of Kutch.",72.6492267,23.2232877,4,
321,321,Central,Uttar Pradesh,Agra,Agra Fort,Fort,1565,2,4.5,40,Yes,,Historical,Yes,1.3,Afternoon,Home to the Taj Mahal and sacred cities like Varanasi.,78.0098161,27.1752554,1,
322,322,Central,Madhya Pradesh,Bhopal,Madhya Pradesh Tribal Museum,Museum,2013,2,4.7,10,Yes,Monday,Cultural,Yes,0.15,All,"Heart of India with temples, forts, and wildlife parks.",77.401989,23.2584857,4,
323,323,Northern,Rajasthan,Jaipur,City Palace,Palace,1727,2,4.4,200,Yes,,Historical,Yes,0.51,Morning,"Desert state famous for its palaces, forts, and rich culture.",75.8189817,26.9154576,1,
324,324,Northern,Rajasthan,Jaipur,Albert Hall Museum,Museum,1887,2,4.5,200,Yes,,Historical,Yes,0.63,All,"Desert state famous for its palaces, forts, and rich culture.",75.8189817,26.9154576,1,
